																	
设计检查点																	
																	
																	
组件/模块：																	
story：																	
检查人：						检查工作量：							检查日期：				
																	
序号	重要	检查内容								自检项	初审项	终审项	备注	说明			
7.6	高	传输安全：如果涉及外部通信的，是否采用了安全协议？如果未采用安全协议，是否在业务层进行了数据安全保护？												不同系统之间的通信，有条件的尽量采用标准的安全协议来建立安全通道，例如HTTPS/SSL/TLS；协议层未实施安全通道的，需要评估业务层传输的数据的安全需求，包括机密性/完整性/身份认证等要求，根据业务需求来实施必要的安全保护；方案设计时需要对与公司基线或参考引用规范要求的一致性进行描述说明，比如是否完全参照，是否有冲突或补充？如果有需要明确说明。			
7.7	高	端口管理：端口使用是否进行了安全考虑，是否对通信端口进行了统一管理并加入通信矩阵进行维护？												"建议对通信端口的使用进行统一的配置和管理，参考公司基线的要求：
1、使用通信矩阵统一管理所有开放端口；
2、需保证通信矩阵中所描述的所有端口都是系统运行和维护所必需的，关闭所有非业务需要的端口，且描述正确。
3、软件采用的服务端口，须能通过配置进行修改，防止有漏洞后无法更换；"			
7.8	高	会话安全：如果涉及登录和会话管理，是否进行了安全性设计考虑？												公司有统一的登录和会话管理规范要求，建议参考《产品安全技术规范.docx》和《WEB文件上传和会话管理安全方案.docx》执行。方案设计时需要对与公司基线或参考引用规范要求的一致性进行描述说明，比如是否完全参照，是否有冲突或补充？如果有需要明确说明。			
7.9	高	WEB安全：如果方案中涉及WEB功能，是否对WEB安全进行了必要的安全设计和防御考虑？												如果方案中涉及WEB功能，需要对常见的WEB攻击进行安全防护，可以参考公司的安全基线要求来实施；方案设计时需要对与公司基线或参考引用规范要求的一致性进行描述说明，比如是否完全参照，是否有冲突或补充？如果有需要明确说明。			
7.10	高	登录和口令安全：如果方案中涉及用户口令的，其口令的使用是否符合公司的相关要求？												"用户登录口令需要考虑口令强度、口令防暴力破解、口令安全存储和使用等各个方面的安全，具体要求参看安全基线和《设备口令安全管理方案V1.0.docx》。方案设计时需要对与公司基线或参考引用规范要求的一致性进行描述说明，比如是否完全参照，是否有冲突或补充？如果有需要明确说明。
常见不规范的口令使用方法包括但不限于：
1）口令硬编码在代码中；
2）口令过于简单，纯数字/纯字母等；
3）口令无法修改；
4）口令采用默认值但未主动提示用户修改；
5）口令明文出现在日志或者传输过程；
6）口令输入时明文回显；
7）口令输入时可以直接复制出来；
8）口令直接明文保存在数据库或文件中；
9）登录时直接传输口令明文来验证用户身份；
10）口令没有防暴力破解机制；"			
7.11	高	密钥安全：安全方案用如果用到加密密钥的，其密钥管理是否符合公司的密钥管理相关要求？												"确保方案安全，不仅仅是要求使用加密，其加密密钥也要符合安全管理要求，参考《密钥管理安全规范.doc》。方案设计时需要对与公司基线或参考引用规范要求的一致性进行描述说明，比如是否完全参照，是否有冲突或补充？如果有需要明确说明。
常见不规范的密钥管理方法包括但不限于：
1）密钥明文直接硬编码在代码中，未采用多部件分散存储，也未加密；
2）密钥明文直接保存在文件等普通介质中，且未进行加密；
3）密钥虽然有加密，但是加密密钥不符合本条要求；
4）密钥产生不随机，可以预测；
5）直接使用手工输入的口令/密码作为密钥，未使用PBKDF2等类似算法转换；
6）一种密钥同时用于多种用途，例如：既用于加解密，又用于认证等；"			
7.12	高	算法/协议安全：安全方案中用到的密码算法或协议是否明确做了说明，密码算法或协议的强度是否符合公司的相关要求？												"加密算法有强弱之分，有些密码算法已经有风险/漏洞，需要淘汰；在设计方案是尽量使用业内认可的最新的密码算法，具体参考《密码算法安全应用规范.doc》。方案设计时需要对与公司基线或参考引用规范要求的一致性进行描述说明，比如是否完全参照，是否有冲突或补充？如果有需要明确说明。

不推荐的算法和协议包括但不限于：
1）自己设计的私有加密算法；
2）强度不足的哈希算法，如：MD2/MD4/MD5/SHA1算法；
3）强度不足的对称分组加密算法，如：RC2、单DES、双倍长TDES等；
4）不足的密钥长度，如：低于2048位的RSA算法；
5）有缺陷的安全协议或算法套件，如：FTP/Telnet/SSH V1等；"			
7.13	高	代码安全：对方案实施依赖的软件运行逻辑是否进行了安全保护？比如利用安全启动保护启动代码安全，利用数字签名等机制保证固件/应用/成果物的安全性？												安全方案的实施依赖代码逻辑的正确运行，如果代码运行逻辑被篡改则无法保证方案正确实施。因此方案设计时应一并提出或设计出针对代码逻辑的安全保护方案。如果公司有统一实施保护方案的，可以直接参考和引用。方案设计时需要对与公司基线或参考引用规范要求的一致性进行描述说明，比如是否完全参照，是否有冲突或补充？如果有需要明确说明。			
7.14	高	后门管控：方案设计时是否对生成/维护阶段的安全进行了考虑？有否预留了未公开的安全后门？如何确保这些后门的安全风险可控？												生产/维护是容易引入安全漏洞的一个重灾区，很多方案实施时为了方便自己维护易放松这方面的安全要求，其结果是方便自己的同时也方便了犯罪分子，通常要求对这类维护功能/接口要实身份认证和访问控制，确保只有授权的维护人员才拥有权限使用这些功能；			
7.15	高	日志审计：敏感操作是否进行了必要的日志记录，是否有统一的日志管理方案？												敏感操作仅以进行日志记录，建议实施统一的日志方案，有条件的可以参考《syslog协议规范.doc》。方案设计时需要对与公司基线或参考引用规范要求的一致性进行描述说明，比如是否完全参照，是否有冲突或补充？如果有需要明确说明。			
7.16	高	运维与管理安全：是否对保障方案安全实施的运管和管理方面提出明确的安全设计考虑？												"一个完整的安全解决方案，不仅包含技术安全手段，也可能包括配套的运管和管理安全措施。安全方案设计时，需要对保证该方案安全实施所依赖的运维/管理安全措施进行明确的描述，并评估可实施性。包括：
1、配套规章制度的制定（如果涉及）；
2、审计管理要求；
3、人员/岗位设置要求
4、授权/审批流程；
5、外部安全设备/介质采购要求；
6、访问控制要求
7、环境/配置要求；
8、密码管理；
9、变更管理；
10、备份与恢复；"			
																	
8	高	设计时是否考虑可测试性设计												除了可从界面直接观测的模块外，所有的后台任务、定时、触发任务，其触发机制都可以被模拟；其运行结果可被界面或工具观测。			
9	高	具备良好的稳定性设计，充分考虑了硬件资源、网络、依赖组件异常等异常场景												合理借助运管的一些能力，比如系统日志、脚本自检、监控等			
10	高	接口说明书中的入参、出参的定义、数据类型、取值返回，错误码是否明确															
11	高	测试用例集是否已经审核通过															
																	
初审评价：			"
"														
																																	
																	
审核结论：			自检/初审是否通过														
